"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2011","35.8","1"
"Afghanistan","2007","36.3","2"
"Albania","2012","14.3","3"
"Albania","2008","12.4","4"
"Albania","2005","18.5","4"
"Albania","2002","25.4","4"
"Angola","2008","36.6","5"
"Armenia","2013","32","6"
"Armenia","2012","32.4","7"
"Armenia","2011","35","8"
"Armenia","2010","35.8","9"
"Armenia","2009","34.1","10"
"Armenia","2008","27.6","11"
"Armenia","2001","48.3","12"
"Azerbaijan","2013","5.3",""
"Azerbaijan","2012","6","13"
"Azerbaijan","2011","7.6","13"
"Azerbaijan","2010","9.1","13"
"Azerbaijan","2009","10.9","13"
"Azerbaijan","2008","13.2","13"
"Azerbaijan","2007","15.8","13"
"Azerbaijan","2001","49.6","14"
"Bangladesh","2010","31.51","15"
"Bangladesh","2005","40","16"
"Bangladesh","2000","48.9","16"
"Bangladesh","1995","50.1","16"
"Bangladesh","1991","56.6","16"
"Belarus","2013","5.5","17"
"Belarus","2012","6.3","17"
"Belarus","2011","7.3","18"
"Belarus","2010","5.2","18"
"Belarus","2009","5.4","19"
"Belarus","2008","6.1","20"
"Belarus","2007","7.7","21"
"Belarus","2006","11.1","22"
"Belarus","2005","12.7","23"
"Belarus","2004","17.8","24"
"Belarus","2003","27.1","24"
"Belarus","2002","30.5","24"
"Belarus","2001","28.9","24"
"Belarus","2000","41.9","19"
"Belarus","1999","46.7","24"
"Belarus","1998","33","24"
"Belarus","1997","32.1","24"
"Belarus","1996","38.6","24"
"Benin","2011","36.2","25"
"Benin","2010","35.2","25"
"Benin","2007","33.3","26"
"Benin","2006","37.2","27"
"Bhutan","2012","12","28"
"Bhutan","2007","23.2","29"
"Bolivia","2011","44.952357","30"
"Bolivia","2009","51.3","31"
"Bolivia","2008","57.3","31"
"Bolivia","2007","60.1","31"
"Bolivia","2006","59.9","31"
"Bolivia","2005","60.586728","30"
"Bolivia","2004","63.1","32"
"Bolivia","2002","63.3","31"
"Bolivia","2001","63.1","31"
"Bolivia","2000","66.4","31"
"Bolivia","1999","63.5","31"
"Bosnia and Herzegovina","2011","17.9","33"
"Bosnia and Herzegovina","2007","18.2","34"
"Botswana","2009","19.3","35"
"Botswana","2003","30.6","36"
"Botswana","1994","32.9","37"
"Brazil","2013","8.9","38"
"Brazil","2012","8.9639166","39"
"Brazil","2011","11.117933","39"
"Brazil","2009","13.289279","39"
"Brazil","2008","14.084228","39"
"Brazil","2007","16.112436","39"
"Brazil","2006","17.290218","39"
"Brazil","2005","20.968174","39"
"Brazil","2004","22.419686","39"
"Brazil","2003","24.927155","39"
"Brazil","2002","23.3","39"
"Brazil","2001","24.7","39"
"Bulgaria","2013","21",""
"Bulgaria","2012","21","40"
"Bulgaria","2011","21.2","41"
"Bulgaria","2010","22.2","42"
"Bulgaria","2009","20.7","41"
"Bulgaria","2008","21.8","41"
"Bulgaria","2007","21.4","41"
"Bulgaria","2006","22","41"
"Bulgaria","2005","18.4","41"
"Burkina Faso","2009","46.7","43"
"Burkina Faso","2003","51.1","44"
"Burundi","2006","66.9","45"
"Cambodia","2012","17.7","46"
"Cambodia","2011","20.5","47"
"Cambodia","2010","22.1","48"
"Cambodia","2009","23.9","49"
"Cambodia","2008","34","50"
"Cambodia","2007","45","51"
"Cambodia","2004","50.2","52"
"Cameroon","2007","39.9","53"
"Cameroon","2001","40.2","53"
"Cameroon","1996","53.3","53"
"Cape Verde","2007","26.6","54"
"Central African Republic","2008","62","55"
"Chad","2011","46.7","56"
"Chad","2002","54.8","57"
"Chile","2013","14.4","58"
"Chile","2011","22.2","58"
"Chile","2009","25.3","58"
"Chile","2006","29.1","58"
"China","1998","4.6","59"
"China","1996","6","59"
"Colombia","2013","30.6","60"
"Colombia","2012","32.7","61"
"Colombia","2011","34.1","62"
"Colombia","2010","37.2","62"
"Colombia","2009","40.3","62"
"Colombia","2008","42","62"
"Colombia","2005","45","63"
"Colombia","2004","47.4","63"
"Colombia","2003","48","63"
"Colombia","2002","49.7","63"
"Comoros","2004","44.8","64"
"Congo","2011","46.5","65"
"Congo","2005","50.7","66"
"Costa Rica","2014","22.4","67"
"Costa Rica","2013","20.7","68"
"Costa Rica","2012","20.6","68"
"Costa Rica","2011","21.6","68"
"Costa Rica","2010","21.3","68"
"Cote d'Ivoire","2008","42.7","69"
"Cote d'Ivoire","2002","40.2","69"
"Cote d'Ivoire","1998","36.4","69"
"Cote d'Ivoire","1993","34.6","69"
"Croatia","2012","19.5","40"
"Croatia","2011","20.5","41"
"Croatia","2010","21.3","41"
"Croatia","2009","20.5","41"
"Czech Republic","2012","8.6","70"
"Czech Republic","2011","9.6","70"
"Czech Republic","2010","9.8","70"
"Czech Republic","2009","9","70"
"Czech Republic","2008","8.6","70"
"Czech Republic","2007","9","70"
"Czech Republic","2006","9.6","70"
"Czech Republic","2005","9.9","70"
"Czech Republic","2004","10.4","70"
"Democratic Republic of the Congo","2012","63.6","71"
"Dominican Republic","2013","41.1","72"
"Dominican Republic","2012","40.9","72"
"Dominican Republic","2011","40.4","72"
"Dominican Republic","2010","41.6","72"
"Dominican Republic","2009","42.1","72"
"Dominican Republic","2008","44.2","72"
"Dominican Republic","2007","43.6","72"
"Dominican Republic","2006","44.2","72"
"Dominican Republic","2005","47.8","72"
"Dominican Republic","2004","49.8","72"
"Dominican Republic","2003","41.5","72"
"Dominican Republic","2002","32.7","72"
"Dominican Republic","2001","32.8","72"
"Dominican Republic","2000","32","72"
"Ecuador","2014","22.5","73"
"Ecuador","2013","25.6","74"
"Ecuador","2012","27.3","75"
"Ecuador","2011","28.6","76"
"Ecuador","2010","32.8","76"
"Ecuador","2009","36","76"
"Ecuador","2008","35.1","76"
"Ecuador","2007","36.7","76"
"Ecuador","2006","37.6","76"
"Ecuador","2005","42.2","77"
"Ecuador","2004","44.6","77"
"Ecuador","2003","49.9","77"
"Ecuador","2001","54.9","78"
"Ecuador","2000","64.4","77"
"Egypt","2011","25.2","79"
"Egypt","2009","21.6","79"
"Egypt","2004","19.6","79"
"Egypt","2000","16.7","79"
"El Salvador","2013","29.6","80"
"El Salvador","2012","34.5","80"
"El Salvador","2011","40.6","80"
"El Salvador","2010","36.5","80"
"El Salvador","2009","37.8","80"
"El Salvador","2008","40","80"
"El Salvador","2007","34.6","80"
"El Salvador","2006","30.7","80"
"El Salvador","2005","35.2","80"
"Equatorial Guinea","2006","76.8","81"
"Eritrea","1993","69","82"
"Estonia","2012","18.6","83"
"Estonia","2011","17.5","70"
"Estonia","2010","17.5","70"
"Estonia","2009","15.8","70"
"Estonia","2008","19.7","70"
"Estonia","2007","19.5","70"
"Estonia","2006","19.4","70"
"Estonia","2005","18.3","70"
"Estonia","2004","18.3","70"
"Estonia","2003","20.2","70"
"Ethiopia","2010","29.6","84"
"Ethiopia","2004","38.9","85"
"Ethiopia","1999","44.2","85"
"Ethiopia","1995","45.5","85"
"Fiji","2008","35.2","86"
"Fiji","2002","39.8","86"
"Gabon","2005","32.7","87"
"Gambia","2010","48.4","88"
"Georgia","2012","14.8",""
"Georgia","2011","17.7","89"
"Georgia","2010","20.9","90"
"Georgia","2009","17.4","90"
"Georgia","2008","17.7","90"
"Georgia","2007","20.1","90"
"Ghana","2012","24.2","91"
"Ghana","2005","31.9","91"
"Guatemala","2011","53.7","92"
"Guatemala","2006","51","92"
"Guatemala","2000","56","92"
"Guinea","2012","55.2","93"
"Guinea","2007","53","93"
"Guinea","2002","49.1","94"
"Guinea","1994","62.6","93"
"Guinea-Bissau","2010","69.3","95"
"Guinea-Bissau","2002","64.7","96"
"Haiti","2012","58.5","97"
"Honduras","2013","64.5","98"
"Honduras","2012","66.5","98"
"Honduras","2011","61.9","99"
"Honduras","2010","60","99"
"Honduras","2009","58.8","99"
"Honduras","2008","59.2","99"
"Honduras","2007","58.2","99"
"Honduras","2006","59.9","99"
"Honduras","2005","63.7","99"
"Honduras","2004","64.6","99"
"Honduras","2003","65.3","99"
"Honduras","2002","64.8","99"
"Honduras","2001","63.7","99"
"Hungary","2012","14.3","70"
"Hungary","2011","14","70"
"Hungary","2010","13.8","70"
"Hungary","2009","12.3","70"
"Hungary","2008","12.4","70"
"Hungary","2007","12.4","70"
"Hungary","2006","12.3","70"
"Hungary","2005","15.9","70"
"Hungary","2004","13.5","70"
"India","2011","21.9","100"
"India","2009","29.8","101"
"India","2004","37.2","102"
"India","1993","45.3","103"
"Indonesia","2014","11.3","104"
"Indonesia","2013","11.4","105"
"Indonesia","2012","12","106"
"Indonesia","2011","12.5","104"
"Indonesia","2010","13.3","104"
"Indonesia","2009","14.2","104"
"Indonesia","2008","15.4","104"
"Indonesia","2007","16.6","104"
"Indonesia","2006","17.8","104"
"Indonesia","2005","16","104"
"Indonesia","2004","16.7","104"
"Indonesia","2003","17.4","104"
"Indonesia","2002","18.2","104"
"Indonesia","1999","23.4","104"
"Indonesia","1996","17.6","104"
"Iraq","2012","18.9","107"
"Iraq","2007","22.4","108"
"Jamaica","2012","19.9","109"
"Jamaica","2010","17.6","109"
"Jamaica","2009","16.5","109"
"Jamaica","2008","12.3","109"
"Jamaica","2007","9.9","109"
"Jamaica","2006","14.3","109"
"Jamaica","2005","14.8","109"
"Jamaica","2004","16.9","109"
"Jamaica","2003","19.1","109"
"Jamaica","2002","19.7","109"
"Jamaica","2001","16.9","109"
"Jamaica","2000","18.7","109"
"Jamaica","1999","16.9","109"
"Jamaica","1998","15.9","109"
"Jamaica","1997","19.9","109"
"Jamaica","1996","26.1","109"
"Jamaica","1995","27.5","109"
"Jamaica","1994","22.8","109"
"Jamaica","1993","24.4","109"
"Jamaica","1992","33.9","109"
"Jamaica","1991","44.6","109"
"Jamaica","1990","28.4","109"
"Jordan","2010","14.4","110"
"Kazakhstan","2013","2.9","111"
"Kazakhstan","2012","3.8","112"
"Kazakhstan","2011","5.5","112"
"Kazakhstan","2010","6.5","112"
"Kazakhstan","2009","8.2","112"
"Kazakhstan","2008","12.1","113"
"Kazakhstan","2007","12.7","114"
"Kazakhstan","2006","18.2","81"
"Kazakhstan","2005","31.6","115"
"Kazakhstan","2004","33.9","116"
"Kazakhstan","2003","37.5","117"
"Kazakhstan","2002","44.5","118"
"Kazakhstan","2001","46.7","119"
"Kenya","2005","45.9","120"
"Kyrgyzstan","2013","37","121"
"Kyrgyzstan","2012","38","122"
"Kyrgyzstan","2011","36.8","122"
"Kyrgyzstan","2010","33.7",""
"Kyrgyzstan","2009","31.7","123"
"Kyrgyzstan","2008","31.7","124"
"Kyrgyzstan","2007","35","125"
"Kyrgyzstan","2006","39.9","126"
"Lao People's Democratic Republic","2012","23.2","127"
"Lao People's Democratic Republic","2007","27.6","128"
"Lao People's Democratic Republic","2002","33.5","128"
"Lao People's Democratic Republic","1997","39.1","128"
"Lao People's Democratic Republic","1992","46","128"
"Latvia","2012","19.4","70"
"Latvia","2011","19.2","70"
"Latvia","2010","19","70"
"Latvia","2009","20.9","70"
"Latvia","2008","26.4","70"
"Latvia","2007","25.9","70"
"Latvia","2006","21.2","70"
"Latvia","2005","23.5","70"
"Latvia","2004","19.4","70"
"Lebanon","2004","28.6","129"
"Lesotho","2010","57.1","130"
"Lesotho","2002","56.6","131"
"Lesotho","1994","66.6","132"
"Liberia","2007","63.8","133"
"Lithuania","2012","20.6","83"
"Lithuania","2011","18.6","70"
"Lithuania","2010","19.2","70"
"Lithuania","2009","20.5","70"
"Lithuania","2008","20.3","70"
"Lithuania","2007","20","70"
"Lithuania","2006","19.1","70"
"Lithuania","2005","20","70"
"Lithuania","2004","20.5","70"
"Madagascar","2010","75.3","134"
"Madagascar","2005","75","135"
"Madagascar","2001","70.8","136"
"Malawi","2010","50.7","137"
"Malawi","2004","52.4","137"
"Malawi","1997","65.3","138"
"Malaysia","2012","1.7","139"
"Malaysia","2009","3.8","140"
"Malaysia","2007","3.6","140"
"Malaysia","2004","5.7","140"
"Malaysia","2002","6","140"
"Malaysia","1999","8.5","140"
"Malaysia","1997","6.1","140"
"Malaysia","1995","8.7","140"
"Malaysia","1992","12.4","140"
"Mali","2010","43.6","141"
"Mali","2006","47.5","141"
"Mali","2001","55.6","141"
"Mauritania","2008","42","142"
"Mauritania","2004","46.7","143"
"Mauritania","2000","51","144"
"Mexico","2012","52.3","145"
"Mexico","2010","51.1","146"
"Mexico","2008","47.8","146"
"Mexico","2006","42.9","146"
"Mexico","2005","47","146"
"Mexico","2004","47.2","146"
"Mexico","2002","50","146"
"Mexico","2000","53.6","146"
"Mexico","1998","63.7","146"
"Mexico","1996","69","146"
"Mexico","1994","52.4","146"
"Mexico","1992","53.1","146"
"Mongolia","2012","27.4","147"
"Mongolia","2011","33.7","148"
"Mongolia","2010","38.7","149"
"Montenegro","2012","11.3","150"
"Montenegro","2011","9.3","151"
"Montenegro","2010","6.6","152"
"Montenegro","2009","6.8","153"
"Montenegro","2008","4.9","153"
"Montenegro","2007","8","153"
"Montenegro","2006","11.3","153"
"Montenegro","2005","11.2","154"
"Morocco","2007","8.9","155"
"Morocco","2001","15.3","156"
"Morocco","1998","16.3","155"
"Mozambique","2009","54.7","157"
"Mozambique","2002","54.1","158"
"Mozambique","1996","69.4","159"
"Namibia","2009","28.7","160"
"Namibia","2004","37.7","160"
"Namibia","1994","69.3","160"
"Nepal","2010","25.2","161"
"Nicaragua","2009","42.5","162"
"Nicaragua","2005","48.3","162"
"Niger","2011","48.9",""
"Nigeria","2010","46","163"
"Nigeria","2004","48.4","164"
"Pakistan","2005","22.3","165"
"Pakistan","2004","23.9","165"
"Pakistan","2001","34.5","165"
"Pakistan","1998","30.6","165"
"Panama","2013","25.8","166"
"Panama","2012","26.5","166"
"Panama","2011","27.6","166"
"Panama","2010","29.8","166"
"Panama","2009","33.4","166"
"Panama","2008","33.8","166"
"Panama","2007","36.5","166"
"Panama","2006","38.3","166"
"Papua New Guinea","2009","39.9","167"
"Papua New Guinea","1996","37.5","168"
"Paraguay","2013","23.8","169"
"Paraguay","2012","26.9","170"
"Paraguay","2011","32.4","169"
"Paraguay","2010","34.7","169"
"Paraguay","2009","35.1","169"
"Paraguay","2008","37.9","169"
"Paraguay","2007","41.2","169"
"Paraguay","2006","43.7","169"
"Paraguay","2005","38.6","169"
"Paraguay","2004","41.3","169"
"Paraguay","2003","44","169"
"Peru","2013","23.9","171"
"Peru","2012","25.8","171"
"Peru","2011","27.8","171"
"Peru","2010","30.8","171"
"Peru","2009","33.5","171"
"Peru","2008","37.3","171"
"Peru","2007","42.4","171"
"Peru","2006","49.2","171"
"Peru","2005","55.6","171"
"Peru","2004","58.7","171"
"Peru","2003","52.3","172"
"Peru","2002","54.3","173"
"Peru","2001","54.8","173"
"Philippines","2012","25.2","174"
"Philippines","2009","26.3","175"
"Philippines","2006","26.6","175"
"Philippines","2003","24.9","176"
"Poland","2012","17.3","83"
"Poland","2011","17.1","70"
"Poland","2010","17.7","70"
"Poland","2009","17.6","70"
"Poland","2008","17.1","70"
"Poland","2007","16.9","70"
"Poland","2006","17.3","70"
"Poland","2005","19.1","70"
"Poland","2004","20.5","70"
"Poland","2002","16.6","177"
"Poland","2001","15.6","177"
"Poland","2000","14.8","177"
"Poland","1999","14.3","177"
"Republic of Moldova","2013","12.7","178"
"Republic of Moldova","2012","16.6","179"
"Republic of Moldova","2011","17.5","179"
"Republic of Moldova","2010","21.9","180"
"Republic of Moldova","2009","26.3","180"
"Republic of Moldova","2008","26.4","180"
"Republic of Moldova","2007","25.8","180"
"Republic of Moldova","2006","30.2","180"
"Republic of Moldova","2005","29","181"
"Republic of Moldova","2004","26.5","181"
"Republic of Moldova","2003","29","181"
"Romania","2012","22.4","83"
"Romania","2011","22.6","70"
"Romania","2010","22.2","70"
"Romania","2009","21.1","70"
"Romania","2008","22.4","70"
"Romania","2007","23.4","70"
"Romania","2006","24.8","70"
"Russian Federation","2013","10.8","182"
"Russian Federation","2012","10.7","182"
"Russian Federation","2011","12.7","182"
"Russian Federation","2010","12.5","182"
"Russian Federation","2009","13","182"
"Russian Federation","2008","13.4","182"
"Russian Federation","2007","13.3","182"
"Russian Federation","2006","15.2","182"
"Russian Federation","2005","17.8","182"
"Russian Federation","2004","17.6","182"
"Russian Federation","2003","20.3","182"
"Russian Federation","2002","24.6","182"
"Rwanda","2011","44.9","183"
"Rwanda","2006","56.7","184"
"Sao Tome and Principe","2009","61.7","185"
"Senegal","2011","46.7","186"
"Senegal","2005","48.3","187"
"Senegal","2001","55.2",""
"Serbia","2011","24.6","188"
"Seychelles","2006","37.8","189"
"Sierra Leone","2011","52.9","190"
"Sierra Leone","2003","66.4","191"
"Slovakia","2012","12.8","83"
"Slovakia","2011","13.2","70"
"Slovakia","2010","13","70"
"Slovakia","2009","12","70"
"Slovakia","2008","11","70"
"Slovakia","2007","10.9","70"
"Slovakia","2006","10.6","70"
"Slovakia","2005","11.6","70"
"Slovakia","2004","13.3","70"
"Slovenia","2012","14.5","83"
"Slovenia","2011","13.5","70"
"Slovenia","2010","13.6","70"
"Slovenia","2009","12.7","70"
"Slovenia","2008","11.3","70"
"Slovenia","2007","12.3","70"
"Slovenia","2006","11.5","70"
"Slovenia","2005","11.6","70"
"Slovenia","2004","12.2","70"
"Solomon Islands","2006","22.7","192"
"South Africa","2011","53.8","193"
"South Africa","2006","66.6","194"
"South Sudan","2009","50.6","195"
"Sri Lanka","2013","6.7","196"
"Sri Lanka","2009","8.9","197"
"Sri Lanka","2006","15.2","198"
"Sri Lanka","2002","22.7","199"
"Sri Lanka","1995","28.8","200"
"Sri Lanka","1990","26.1","201"
"State of Palestine","2011","25.8","202"
"State of Palestine","2010","25.7","203"
"State of Palestine","2009","26.2","204"
"State of Palestine","2007","31.2","205"
"State of Palestine","2006","30.8","206"
"State of Palestine","2005","29.5","207"
"State of Palestine","2004","25.6","207"
"State of Palestine","2003","35.5","208"
"Sudan","2009","46.5","209"
"Swaziland","2009","63","210"
"Swaziland","2000","69","211"
"Syrian Arab Republic","2007","35.2","212"
"Syrian Arab Republic","2004","30.1","213"
"Tajikistan","2009","47.2","214"
"Tajikistan","2007","53.1","214"
"Tajikistan","2003","72.4","215"
"Tajikistan","1999","96","216"
"Thailand","2012","12.6","217"
"Thailand","2011","13.2","218"
"Thailand","2010","16.9","219"
"Thailand","2009","19.1","220"
"Thailand","2008","20.5","221"
"Thailand","2007","20.9","222"
"Thailand","2006","23.4","223"
"Thailand","2004","26.9","224"
"Thailand","2002","32.6","225"
"Thailand","2000","42.6","226"
"Thailand","1998","38.7","227"
"Thailand","1996","35.3","228"
"Thailand","1994","42.7","229"
"Thailand","1992","50.1","230"
"Thailand","1990","58.1","231"
"The former Yugoslav Republic of Macedonia","2010","27.1","232"
"The former Yugoslav Republic of Macedonia","2009","27.3","232"
"Timor-Leste","2007","49.9","233"
"Timor-Leste","2001","36.3","234"
"Togo","2011","58.7","235"
"Togo","2006","61.7","236"
"Tunisia","2010","15.5","237"
"Tunisia","2005","23.3","238"
"Tunisia","2000","32.4","237"
"Turkey","2012","2.3","239"
"Turkey","2011","2.8","239"
"Turkey","2010","3.7","239"
"Turkey","2009","4.4","239"
"Turkey","2008","6.8","239"
"Turkey","2007","8.4","239"
"Turkey","2006","13.3","239"
"Turkey","2005","16.4","239"
"Turkey","2004","20.9","239"
"Turkey","2003","23.8","239"
"Turkey","2002","30.3","239"
"Uganda","2012","19.5","240"
"Uganda","2009","24.5",""
"Uganda","2005","31.1","241"
"Uganda","2002","38.8","242"
"Uganda","2000","33.8","242"
"Uganda","1996","44.4","242"
"Uganda","1992","56.4","242"
"Ukraine","2013","8.4","243"
"Ukraine","2012","9.1","244"
"Ukraine","2011","7.8","244"
"Ukraine","2010","8.8","244"
"Ukraine","2009","5.8","244"
"Ukraine","2008","7.1","244"
"Ukraine","2007","12.7","244"
"United Republic of Tanzania","2012","28.2","245"
"Uruguay","2013","11.5","246"
"Uruguay","2012","12.4","246"
"Uruguay","2011","13.7","246"
"Uruguay","2010","18.5","246"
"Uruguay","2009","21","246"
"Uruguay","2008","24.2","246"
"Uruguay","2007","29.6","246"
"Uruguay","2006","32.5","246"
"Uzbekistan","2011","16","247"
"Uzbekistan","2010","17.7","247"
"Venezuela","2012","25.4","248"
"Venezuela","2011","31.6","248"
"Venezuela","2010","32.5","248"
"Venezuela","2009","31.8","248"
"Venezuela","2008","32.6","248"
"Venezuela","2007","33.6","248"
"Venezuela","2006","36.3","248"
"Venezuela","2005","43.7","248"
"Venezuela","2004","53.9","248"
"Venezuela","2003","62.1","248"
"Venezuela","2002","55.4","248"
"Venezuela","2001","45.4","248"
"Venezuela","2000","46.3","248"
"Venezuela","1999","48.7","248"
"Venezuela","1998","50.4","248"
